date,pacientes_uti_ultimo_dia,total_passengers
2020-03-15,,7459664.571428572
2020-03-16,,7248699.285714285
2020-03-17,,6898401.142857143
2020-03-18,,6473807.428571428
2020-03-19,,5961029.428571428
2020-03-20,,5377446.142857143
2020-03-21,,4979208.142857143
2020-03-22,,4757520.857142857
2020-03-23,,4115909.4285714286
2020-03-24,,3506764.5714285714
2020-03-25,,2967777.4285714286
2020-03-26,,2531229.0
2020-03-27,,2223034.8571428573
2020-03-28,,2132228.5714285714
2020-03-29,,2100842.8571428573
2020-03-30,,2033392.4285714286
2020-03-31,,2020122.2857142857
2020-04-01,,2045737.142857143
2020-04-02,,2065581.2857142857
2020-04-03,,2080763.4285714286
2020-04-04,,2096658.5714285714
2020-04-05,,2104892.1428571427
2020-04-06,,2152280.285714286
2020-04-07,,2224183.1428571427
2020-04-08,,2267513.0
2020-04-09,,2328289.5714285714
2020-04-10,,2143267.0
2020-04-11,,2146433.8571428573
2020-04-12,,2151393.714285714
2020-04-13,,2134509.0
2020-04-14,,2113641.5714285714
2020-04-15,,2093942.7142857143
2020-04-16,,2062674.857142857
2020-04-17,,2275967.714285714
2020-04-18,,2283274.1428571427
2020-04-19,,2279220.285714286
2020-04-20,,2222113.4285714286
2020-04-21,,2020768.7142857143
2020-04-22,,2034547.857142857
2020-04-23,,2055614.0
2020-04-24,,2077497.857142857
2020-04-25,,2089995.7142857143
2020-04-26,,2100363.8571428573
2020-04-27,,2185830.1428571427
2020-04-28,,2399528.0
2020-04-29,,2415588.8571428573
2020-04-30,,2434733.714285714
2020-05-01,,2207326.1428571427
2020-05-02,,2173978.0
2020-05-03,,2165376.285714286
2020-05-04,,2169433.1428571427
2020-05-05,,2586685.285714286
2020-05-06,,2584311.1428571427
2020-05-07,,2576028.1428571427
2020-05-08,,2822052.285714286
2020-05-09,,2854395.714285714
2020-05-10,,2864780.4285714286
2020-05-11,,2894469.714285714
2020-05-12,,2529715.8571428573
2020-05-13,,2548929.285714286
2020-05-14,,2560446.0
2020-05-15,,2551173.4285714286
2020-05-16,,2542408.8571428573
2020-05-17,,2547767.0
2020-05-18,,2507845.5714285714
2020-05-19,,2450158.5714285714
2020-05-20,,2296160.4285714286
2020-05-21,,2160199.4285714286
2020-05-22,,2093733.7142857143
2020-05-23,,2052997.857142857
2020-05-24,,2019116.142857143
2020-05-25,2464.0,1874616.857142857
2020-05-26,2481.285714285714,1912113.4285714286
2020-05-27,2500.4285714285716,2017315.0
2020-05-28,2533.714285714286,2141069.0
2020-05-29,2543.1428571428573,2201012.1428571427
2020-05-30,2560.285714285714,2245337.285714286
2020-05-31,2556.4285714285716,2268258.1428571427
2020-06-01,2584.4285714285716,2425389.5714285714
2020-06-02,2606.285714285714,2378058.714285714
2020-06-03,2610.4285714285716,2420225.1428571427
2020-06-04,2607.8571428571427,2447702.0
2020-06-05,2606.8571428571427,2482651.1428571427
2020-06-06,2605.0,2504812.8571428573
2020-06-07,2610.0,2520152.714285714
2020-06-08,2602.4285714285716,2568774.0
2020-06-09,2599.5714285714284,2663740.4285714286
2020-06-10,2609.4285714285716,2717162.714285714
2020-06-11,2638.285714285714,2722721.0
2020-06-12,2666.285714285714,2758226.0
2020-06-13,2688.714285714286,2781742.5714285714
2020-06-14,2702.4285714285716,2768623.285714286
2020-06-15,2721.714285714286,2815294.8571428573
2020-06-16,2730.8571428571427,2833633.0
2020-06-17,2731.8571428571427,2861308.5714285714
2020-06-18,2701.5714285714284,2940819.714285714
2020-06-19,2703.5714285714284,2989132.4285714286
2020-06-20,2695.8571428571427,3038315.5714285714
2020-06-21,2689.285714285714,3068908.5714285714
2020-06-22,2678.1428571428573,3096819.8571428573
2020-06-23,2664.1428571428573,3142013.4285714286
2020-06-24,2646.4285714285716,3170322.285714286
2020-06-25,2638.8571428571427,3154028.285714286
2020-06-26,2616.8571428571427,3069576.714285714
2020-06-27,2601.1428571428573,3005734.0
2020-06-28,2582.5714285714284,3007548.5714285714
2020-06-29,2566.285714285714,3006879.0
2020-06-30,2558.285714285714,3005229.4285714286
2020-07-01,2543.1428571428573,2945116.285714286
2020-07-02,2533.714285714286,3004140.8571428573
2020-07-03,2511.714285714286,3132050.714285714
2020-07-04,2491.714285714286,3226877.0
2020-07-05,2488.1428571428573,3237839.0
